ITERATION 3 

PARAMS:
-> num_beams:  10 
-> no_repeat_ngram_size:  1 
-> repetition_penalty:  1.2 
-> temperature:  1.2 
-> top_k:  100 
-> top_p:  0.8 
-> max_length:  100 
 
LOSS 9.22384262084961 	 ACC 0.25 
LOSS 11.146285057067871 	 ACC 0.25 
LOSS 6.074472904205322 	 ACC 0.15000000000000002 
LOSS 12.240644454956055 	 ACC 0.15 
LOSS 7.796764373779297 	 ACC 0.4 
LOSS 13.568846702575684 	 ACC 0.25 
LOSS 10.938705444335938 	 ACC 0.25 
LOSS 2.5269393920898438 	 ACC 0.5 
LOSS 6.251293182373047 	 ACC 0.25 
LOSS 11.030557632446289 	 ACC 0.25 
LOSS 16.186155319213867 	 ACC 0.5 
LOSS 12.410240173339844 	 ACC 0.25 
LOSS 9.55280876159668 	 ACC 0.5 
LOSS 10.998564720153809 	 ACC 0.0 
LOSS 11.881250381469727 	 ACC 0.25 
LOSS 7.1396636962890625 	 ACC 0.29999999999999993 
LOSS 8.331713676452637 	 ACC 0.0 
LOSS 9.890920639038086 	 ACC 0.4 
LOSS 10.157798767089844 	 ACC 0.25 
LOSS 3.8103935718536377 	 ACC 0.5 
LOSS 9.560236930847168 	 ACC 0.25 
LOSS 6.666835308074951 	 ACC 0.25 
LOSS 8.290024757385254 	 ACC 0.75 
LOSS 6.087490081787109 	 ACC 0.0 
LOSS 6.474781513214111 	 ACC 0.15 
LOSS 9.705175399780273 	 ACC 0.14999999999999997 
LOSS 9.851667404174805 	 ACC 0.25 
LOSS 8.182228088378906 	 ACC 0.0 
LOSS 7.049980163574219 	 ACC 0.5 
LOSS 7.014875411987305 	 ACC 0.4 
LOSS 9.869733810424805 	 ACC 0.0 
LOSS 9.955615997314453 	 ACC 0.25 
LOSS 7.984684467315674 	 ACC 0.5 
LOSS 12.570786476135254 	 ACC 0.25 
LOSS 7.820176601409912 	 ACC 0.25 
LOSS 6.0211968421936035 	 ACC 0.0 
LOSS 8.10444164276123 	 ACC 0.39999999999999997 
LOSS 11.972284317016602 	 ACC 0.25 
LOSS 9.164961814880371 	 ACC 0.0 
LOSS 8.041465759277344 	 ACC 0.5 
LOSS 10.903870582580566 	 ACC 0.5 
LOSS 4.904903888702393 	 ACC 0.5 
LOSS 10.073649406433105 	 ACC 0.25 
LOSS 12.106361389160156 	 ACC 0.14999999999999997 
LOSS 6.650531768798828 	 ACC 0.15 
LOSS 9.569133758544922 	 ACC 0.25 
LOSS 10.878170013427734 	 ACC 0.0 
LOSS 15.451833724975586 	 ACC 0.25 
LOSS 6.545404434204102 	 ACC 0.25 
LOSS 8.281134605407715 	 ACC 0.0 
LOSS 12.55837631225586 	 ACC 0.39999999999999997 
LOSS 11.788313865661621 	 ACC 0.75 
LOSS 7.174297332763672 	 ACC 0.29999999999999993 
LOSS 7.673158645629883 	 ACC 0.6499999999999999 
LOSS 10.632963180541992 	 ACC 0.0 
LOSS 7.5955586433410645 	 ACC 0.0 
LOSS 13.953099250793457 	 ACC 0.0 
LOSS 14.212026596069336 	 ACC 0.6499999999999999 
LOSS 9.617691040039062 	 ACC 0.0 
LOSS 11.135345458984375 	 ACC 0.0 
LOSS 7.360279560089111 	 ACC 0.25 
LOSS 9.87698745727539 	 ACC 0.6499999999999999 
LOSS 10.233530044555664 	 ACC 0.0 
LOSS 9.286920547485352 	 ACC 0.75 
LOSS 10.570627212524414 	 ACC 0.5 
LOSS 12.727319717407227 	 ACC 0.25 
LOSS 6.461531162261963 	 ACC 0.0 
LOSS 11.29269027709961 	 ACC 0.25 
LOSS 8.428112983703613 	 ACC 0.0 
LOSS 6.60101318359375 	 ACC 0.5 
LOSS 9.759259223937988 	 ACC 0.75 
LOSS 12.623066902160645 	 ACC 0.25 
LOSS 14.537178993225098 	 ACC 0.0 
LOSS 11.083234786987305 	 ACC 0.25 
LOSS 8.84056282043457 	 ACC 0.25 
LOSS 10.853269577026367 	 ACC 0.29999999999999993 
LOSS 9.539350509643555 	 ACC 0.15000000000000002 
LOSS 6.898691177368164 	 ACC 0.25 
LOSS 10.173478126525879 	 ACC 0.25 
LOSS 7.968875885009766 	 ACC 0.5 
LOSS 8.651956558227539 	 ACC 0.0 
LOSS 6.767788410186768 	 ACC 0.0 
LOSS 11.621838569641113 	 ACC 0.25 
LOSS 4.715679168701172 	 ACC 0.0 
LOSS 7.204067707061768 	 ACC 0.0 
LOSS 10.260616302490234 	 ACC 0.0 
LOSS 3.848064422607422 	 ACC 0.0 
LOSS 4.485164642333984 	 ACC 0.14999999999999997 
LOSS 6.322759628295898 	 ACC 0.4 
LOSS 9.325575828552246 	 ACC 0.0 
LOSS 10.84047794342041 	 ACC 0.0 
LOSS 10.1981201171875 	 ACC 0.0 
LOSS 9.517242431640625 	 ACC 0.25 
LOSS 6.6668171882629395 	 ACC 0.4 
LOSS 17.65680694580078 	 ACC 0.14999999999999997 
LOSS 9.418997764587402 	 ACC 0.4 
LOSS 12.325267791748047 	 ACC 0.6499999999999999 
LOSS 11.934394836425781 	 ACC 0.0 
LOSS 11.062177658081055 	 ACC 0.0 
LOSS 7.931799411773682 	 ACC 0.25 
LOSS 8.886343955993652 	 ACC 0.0 
LOSS 7.385204792022705 	 ACC 0.25 
LOSS 9.942111015319824 	 ACC 0.0 
LOSS 8.23618221282959 	 ACC 0.4 
LOSS 10.63708209991455 	 ACC 0.39999999999999997 
LOSS 9.703872680664062 	 ACC 0.5 
LOSS 6.9509406089782715 	 ACC 0.0 
LOSS 10.80958366394043 	 ACC 0.5 
LOSS 10.548772811889648 	 ACC 0.15 
LOSS 7.899290561676025 	 ACC 0.5 
LOSS 12.019205093383789 	 ACC 0.3 
LOSS 6.269164562225342 	 ACC 0.30000000000000004 
LOSS 8.49316692352295 	 ACC 0.0 
LOSS 5.845064640045166 	 ACC 0.0 
LOSS 14.474040031433105 	 ACC 0.0 
LOSS 11.657258987426758 	 ACC 0.25 
LOSS 8.465513229370117 	 ACC 0.6499999999999999 
LOSS 5.972126483917236 	 ACC 0.25 
LOSS 8.439300537109375 	 ACC 0.0 
LOSS 4.700924396514893 	 ACC 0.25 
LOSS 9.684375762939453 	 ACC 0.25 
LOSS 11.032986640930176 	 ACC 0.0 
LOSS 6.442564010620117 	 ACC 0.25 
LOSS 13.61495590209961 	 ACC 0.4 
LOSS 9.642621040344238 	 ACC 0.25 
LOSS 11.738444328308105 	 ACC 0.15000000000000002 
LOSS 13.99779987335205 	 ACC 0.7999999999999998 
LOSS 8.234901428222656 	 ACC 0.75 
LOSS 6.749119281768799 	 ACC 0.5 
LOSS 10.40046501159668 	 ACC 0.5 
LOSS 8.47433090209961 	 ACC 0.5 
LOSS 10.627939224243164 	 ACC 0.15000000000000002 
LOSS 7.873112678527832 	 ACC 0.39999999999999997 
LOSS 7.930245876312256 	 ACC 0.25 
LOSS 9.79869556427002 	 ACC 0.5 
LOSS 6.580188274383545 	 ACC 0.5 
LOSS 8.292384147644043 	 ACC 0.5 
