ITERATION 2 

PARAMS:
-> num_beams:  3 
-> no_repeat_ngram_size:  3 
-> repetition_penalty:  1.0 
-> temperature:  0.7 
-> top_k:  100 
-> top_p:  0.7 
-> max_length:  20 
 
LOSS 12.670243263244629 	 ACC 0.25 
LOSS 8.290560722351074 	 ACC 0.25 
LOSS 14.25010871887207 	 ACC 0.0 
LOSS 7.105361461639404 	 ACC 0.25 
LOSS 6.082090854644775 	 ACC 0.25 
LOSS 7.617788791656494 	 ACC 0.25 
LOSS 9.652911186218262 	 ACC 0.5 
LOSS 10.19210147857666 	 ACC 0.25 
LOSS 9.669933319091797 	 ACC 0.25 
LOSS 12.055994987487793 	 ACC 0.0 
LOSS 5.949979305267334 	 ACC 0.4 
LOSS 13.576711654663086 	 ACC 0.39999999999999997 
LOSS 12.068392753601074 	 ACC 0.25 
LOSS 9.12207317352295 	 ACC 0.25 
LOSS 11.809523582458496 	 ACC 0.0 
LOSS 8.709637641906738 	 ACC 0.0 
LOSS 10.80056095123291 	 ACC 0.4 
LOSS 10.271531105041504 	 ACC 0.0 
LOSS 8.054816246032715 	 ACC 0.44999999999999996 
LOSS 12.117574691772461 	 ACC 0.25 
LOSS 11.557805061340332 	 ACC 0.0 
LOSS 9.037281036376953 	 ACC 0.15 
LOSS 18.285003662109375 	 ACC 0.25 
LOSS 10.745878219604492 	 ACC 0.75 
LOSS 8.957345008850098 	 ACC 0.0 
LOSS 9.021385192871094 	 ACC 0.6499999999999999 
LOSS 5.3137125968933105 	 ACC 0.5 
LOSS 10.774516105651855 	 ACC 0.4 
LOSS 10.140908241271973 	 ACC 0.5 
LOSS 7.178861141204834 	 ACC 0.15000000000000002 
LOSS 6.960662841796875 	 ACC 0.0 
LOSS 9.359164237976074 	 ACC 0.25 
LOSS 8.303938865661621 	 ACC 0.5 
LOSS 7.293200969696045 	 ACC 0.0 
LOSS 9.204252243041992 	 ACC 0.75 
LOSS 8.513487815856934 	 ACC 0.0 
LOSS 10.288533210754395 	 ACC 0.5 
LOSS 5.051717281341553 	 ACC 0.65 
LOSS 4.60315465927124 	 ACC 0.5 
LOSS 7.497436046600342 	 ACC 0.0 
LOSS 10.734175682067871 	 ACC 0.0 
LOSS 9.876547813415527 	 ACC 0.5 
LOSS 11.879563331604004 	 ACC 0.14999999999999997 
LOSS 9.842596054077148 	 ACC 0.5 
LOSS 14.859209060668945 	 ACC 0.0 
LOSS 12.177849769592285 	 ACC 0.25 
LOSS 11.962392807006836 	 ACC 0.0 
LOSS 9.568948745727539 	 ACC 0.15000000000000002 
LOSS 4.823557376861572 	 ACC 0.0 
LOSS 11.38822078704834 	 ACC 0.0 
LOSS 6.996157169342041 	 ACC 0.0 
LOSS 10.255300521850586 	 ACC 0.0 
LOSS 11.506464958190918 	 ACC 0.25 
LOSS 6.910305023193359 	 ACC 0.5 
LOSS 10.785940170288086 	 ACC 0.0 
LOSS 8.869099617004395 	 ACC 0.14999999999999997 
LOSS 9.271746635437012 	 ACC 0.0 
LOSS 12.367499351501465 	 ACC 0.29999999999999993 
LOSS 8.951298713684082 	 ACC 0.5 
LOSS 8.914307594299316 	 ACC 0.0 
LOSS 9.945096969604492 	 ACC 0.5 
LOSS 4.242971897125244 	 ACC 0.14999999999999997 
LOSS 9.078548431396484 	 ACC 0.6499999999999999 
LOSS 8.572857856750488 	 ACC 0.5 
LOSS 12.623312950134277 	 ACC 0.5 
